date,f1,f2
1510555672,0,0
1510555977,0,0
1510556278,0,0
1510556577,0,0
1510556877,-1,-1
1510557177,0,0
1510557477,0,0
1510557777,1,1
1510558077,-1,-1
1510558377,1,1
1510558677,0,0
1510558977,0,0
1510559278,-1,-1
1510559579,1,1
1510559941,-1,-1
1510560177,0,0
1510560477,0,0
1510560777,0,0
1510561077,0,0
1510561378,0,0
1510561677,0,0
1510561977,0,0
1510562277,0,0
1510562577,0,0
1510562877,0,0
1510563178,0,0
1510563480,0,0
1510563777,0,0
1510564078,0,0
1510564377,0,0
1510564678,0,0
1510564977,-1,-1
1510565277,1,1
1510565577,0,0
1510565877,-1,-1
1510566177,0,0
1510566477,0,0
1510566777,0,0
1510567077,0,0
1510567377,1,1
1510567677,0,0
1510567977,0,0
1510568278,0,0
1510568577,0,0
1510568877,-1,-1
1510569177,0,0
1510569477,1,1
1510569777,0,1
1510570077,0,-1
1510570377,0,0
1510570677,0,0
1510570977,0,0
1510571277,0,0
1510571577,0,0
1510571878,0,0
1510572177,0,0
1510572477,0,0
1510572779,0,0
1510573077,0,0
1510573377,0,0
1510573677,1,1
1510573977,0,0
1510574277,0,0
1510574577,0,0
1510574877,0,0
1510575177,0,0
1510575478,0,0
1510575777,0,0
1510576077,0,0
1510576377,0,0
1510576677,0,0
1510576977,0,0
1510577277,0,0
1510577577,0,0
1510577877,0,0
1510578177,0,0
1510578477,0,0
1510578777,0,0
1510579077,-1,-1
1510579377,0,0
1510579677,0,0
1510579977,0,0
1510580277,0,0
1510580577,0,0
1510580877,0,0
1510581177,0,0
1510581477,0,0
1510581777,0,0
1510582077,1,1
1510582377,0,0
1510582677,0,0
1510582977,0,-1
1510583277,-1,0
1510583577,1,1
1510583877,-1,-1
1510584178,0,0
1510584477,1,1
1510584777,0,0
1510585077,0,0
1510585377,0,0
1510585677,0,0
1510585977,0,0
1510586277,0,0
1510586577,0,0
1510586878,0,0
1510587177,-1,-1
1510588099,0,0
1510588377,0,0
1510588677,0,0
1510588977,1,1
1510589277,0,0
1510589578,0,0
1510589879,0,0
1510590177,0,0
1510590477,0,0
1510590777,0,0
1510591077,0,1
1510591377,0,-1
1510591677,0,0
1510591977,1,1
1510592277,0,0
1510592577,0,0
1510592877,0,0
1510593177,0,0
1510593477,-1,-1
1510593777,1,1
1510594077,0,0
1510594378,-1,-1
1510594677,0,0
1510594978,0,0
1510595278,0,0
1510595577,0,0
1510595877,0,0
1510596177,0,0
1510596477,0,0
1510596777,0,0
1510597077,0,0
1510597377,0,0
1510597677,0,0
1510597977,0,0
1510598278,0,0
1510598577,0,0
1510598877,0,0
1510599177,0,0
1510599477,0,0
1510599777,0,0
1510600077,0,0
1510600377,0,0
1510600677,0,0
1510600977,0,0
1510601277,0,0
1510601579,0,0
1510601877,0,0
1510602177,0,0
1510602477,0,0
1510602777,0,0
1510603078,0,0
1510603377,1,1
1510603677,-1,-1
1510603977,0,0
1510604277,0,0
1510604577,0,0
1510604877,0,0
1510605177,0,0
1510605477,0,0
1510605777,0,0
1510606077,0,0
1510606377,-1,-1
1510606677,0,0
1510606977,-1,-1
1510607277,0,0
1510607578,1,1
1510607878,-1,-1
1510608177,1,1
1510608605,0,-1
1510608777,-1,0
1510609077,1,1
1510609377,0,0
1510609677,0,0
1510609977,0,0
1510610278,0,0
1510610577,0,0
1510610877,0,0
1510611177,0,0
1510611479,0,0
1510611777,0,0
1510612077,0,0
1510612377,0,0
1510612677,0,0
1510612977,0,0
1510613277,0,0
1510613578,0,0
1510613877,-1,-1
1510614177,0,0
1510614477,0,0
1510614777,0,0
1510615077,0,0
1510615377,0,0
1510615677,0,0
1510615977,0,0
1510616278,0,0
1510616578,0,0
1510616877,0,0
1510617177,0,0
1510617477,0,0
1510617777,0,0
1510618077,1,1
1510618377,-1,-1
1510618677,0,0
1510618977,0,0
1510619277,0,0
1510619577,0,0
1510619877,0,0
1510620177,0,0
1510620477,0,0
1510620777,0,0
1510621078,1,1
1510621377,0,0
1510621677,0,0
1510621977,0,0
1510622277,0,0
1510622577,0,0
1510623004,0,0
1510623177,0,0
1510623478,0,0
1510623777,0,0
1510624077,0,0
1510624377,0,0
1510624677,0,0
1510624977,0,0
1510625277,0,0
1510625577,0,0
1510625878,0,0
1510626177,0,0
1510626477,0,0
1510626777,0,0
1510627077,0,0
1510627377,0,0
1510627677,0,0
1510627977,0,0
1510628277,0,0
1510628577,0,0
1510628877,0,0
1510629177,0,0
1510629477,0,0
1510629777,0,0
1510630077,0,0
1510630377,0,0
1510630677,0,0
1510630978,0,0
1510631277,0,0
1510631577,0,0
1510631877,0,0
1510632178,0,0
1510632477,0,0
1510632777,0,0
1510633077,0,0
1510633377,0,0
1510633679,0,0
1510633977,0,0
1510634277,0,0
1510634578,0,0
1510634877,0,0
1510635177,0,0
1510635477,0,0
1510635777,0,0
1510636077,-1,-1
1510636377,1,1
1510636677,0,0
1510636978,-1,-1
1510637278,0,0
1510637578,0,0
1510637877,0,0
1510638177,0,0
1510638477,0,0
1510638777,0,0
1510639077,0,0
1510639377,0,0
1510639677,1,1
1510639978,0,0
1510640277,-1,-1
1510640577,0,0
1510640877,0,0
1510641178,0,0
1510641477,0,0
1510641777,0,0
1510642077,0,0
1510642377,0,0
1510642677,0,0
1510642978,0,0
1510643277,0,0
1510643577,0,0
1510643877,0,0
1510644177,-1,-1
1510644478,0,0
1510644777,0,0
1510645077,0,0
1510645377,0,0
1510645677,0,0
1510645977,0,0
1510646278,0,0
1510646577,0,0
1510646878,0,0
1510647177,0,0
1510647477,1,1
1510647778,-1,-1
1510648077,0,0
1510648377,0,0
1510648677,1,1
1510648978,-1,-1
1510649277,0,0
1510649577,0,0
1510649878,0,0
1510650177,0,0
1510650477,-1,-1
1510650777,0,0
1510651077,0,0
