date,f1,f2
1510555672,0,0
1510555977,0,0
1510556278,0,0
1510556577,0,0
1510556878,0,0
1510557177,0,0
1510557477,0,0
1510557778,0,0
1510558077,0,0
1510558377,0,0
1510558677,0,0
1510558977,0,0
1510559279,0,0
1510559579,0,0
1510559942,0,0
1510560177,0,0
1510560478,0,0
1510560777,0,0
1510561077,-91,-91
1510561379,90,90
1510561677,1,1
1510561978,-1,-1
1510562278,1,1
1510562577,0,-1
1510562877,-1,0
1510563179,1,1
1510563481,0,0
1510563777,-1,-1
1510564078,0,0
1510564377,0,0
1510564679,0,0
1510564978,0,0
1510565277,0,0
1510565578,0,0
1510565878,0,0
1510566177,0,0
1510566478,0,0
1510566777,0,0
1510567077,0,0
1510567377,0,0
1510567677,0,0
1510567977,0,0
1510568279,0,0
1510568577,0,0
1510568877,0,0
1510569177,0,0
1510569477,0,0
1510569778,1,1
1510570077,0,0
1510570377,0,0
1510570677,0,0
1510570977,-1,-1
1510571278,0,0
1510571577,0,0
1510571878,0,0
1510572177,0,0
1510572478,0,0
1510572779,0,0
1510573077,0,0
1510573377,0,0
1510573678,1,1
1510573979,0,0
1510574277,0,0
1510574579,0,0
1510574877,0,0
1510575178,0,0
1510575478,0,0
1510575777,0,0
1510576077,0,0
1510576378,0,0
1510576677,0,0
1510576977,0,0
1510577277,0,0
1510577577,-91,-91
1510577878,91,91
1510578177,0,0
1510578477,0,0
1510578777,0,0
1510579077,0,0
1510579377,0,0
1510579678,0,0
1510579977,0,0
1510580277,-1,-1
1510580578,1,1
1510580878,0,0
1510581178,0,0
1510581478,0,0
1510581777,0,0
1510582077,0,0
1510582377,0,0
1510582677,0,0
1510582977,0,0
1510583277,0,0
1510583577,0,0
1510583877,0,0
1510584178,0,0
1510584477,0,0
1510584778,0,0
1510585077,0,0
1510585377,0,0
1510585677,0,0
1510585977,0,0
1510586277,1,0
1510586577,-1,0
1510586878,1,0
1510587177,-1,0
1510588101,0,0
1510588377,0,0
1510588677,0,0
1510588977,1,0
1510589277,0,1
1510589578,-1,-1
1510589879,1,1
1510590178,-1,-1
1510590477,1,1
1510590777,0,0
1510591077,0,0
1510591377,0,0
1510591677,0,0
1510591978,0,0
1510592277,0,0
1510592577,0,0
1510592877,0,0
1510593177,0,0
1510593478,0,0
1510593778,0,0
1510594077,0,0
1510594378,0,0
1510594677,0,0
1510594979,0,0
1510595279,0,0
1510595577,0,0
1510595877,0,0
1510596177,0,0
1510596477,0,0
1510596778,0,0
1510597077,0,0
1510597377,0,0
1510597677,0,-1
1510597978,0,1
1510598278,-1,-1
1510598577,1,1
1510598878,0,0
1510599177,0,0
1510599477,0,0
1510599778,0,0
1510600077,0,0
1510600378,0,0
1510600678,0,0
1510600977,0,0
1510601277,0,0
1510601579,0,0
1510601878,0,0
1510602177,0,0
1510602477,0,0
1510602777,0,0
1510603078,0,0
1510603377,1,1
1510603677,-1,-1
1510603977,0,0
1510604278,0,0
1510604577,0,0
1510604878,0,0
1510605177,1,1
1510605478,0,0
1510605777,0,0
1510606077,0,0
1510606377,-1,-1
1510606678,-1,-1
1510606978,0,0
1510607277,0,0
1510607578,0,0
1510607879,0,0
1510608178,0,0
1510608605,0,0
1510608777,0,0
1510609078,0,0
1510609377,0,0
1510609677,0,0
1510609978,0,0
1510610278,0,0
1510610578,0,0
1510610878,0,0
1510611177,0,0
1510611479,0,0
1510611778,0,0
1510612077,0,0
1510612377,0,0
1510612677,0,0
1510612977,0,0
1510613277,0,0
1510613578,0,0
1510613878,-1,-1
1510614177,0,0
1510614477,0,0
1510614778,1,1
1510615078,0,0
1510615377,0,0
1510615677,0,0
1510615977,-1,-1
1510616279,1,0
1510616579,-1,0
1510616878,1,1
1510617177,0,0
1510617477,0,0
1510617777,0,0
1510618077,0,0
1510618378,0,0
1510618678,0,0
1510618977,0,0
1510619277,0,0
1510619577,0,0
1510619877,0,0
1510620177,0,0
1510620478,0,0
1510620778,0,0
1510621079,0,0
1510621377,0,0
1510621679,1,1
1510621977,0,-1
1510622278,-1,0
1510622579,0,0
1510623004,0,0
1510623178,1,1
1510623479,-1,-1
1510623777,0,0
1510624077,0,0
1510624377,0,0
1510624677,0,0
1510624977,0,0
1510625277,0,0
1510625577,0,0
1510625878,0,0
1510626177,0,0
1510626477,0,0
1510626777,0,0
1510627077,0,0
1510627377,0,0
1510627677,0,0
1510627977,0,0
1510628277,0,0
1510628577,0,0
1510628878,0,0
1510629177,0,0
1510629477,0,0
1510629778,0,0
1510630077,0,0
1510630377,0,0
1510630677,1,0
1510630978,-1,0
1510631277,0,0
1510631578,1,0
1510631877,0,0
1510632178,-1,0
1510632477,0,0
1510632777,0,0
1510633077,0,0
1510633378,0,0
1510633680,0,0
1510633979,0,0
1510634278,0,0
1510634579,0,0
1510634877,0,0
1510635177,0,0
1510635477,0,0
1510635777,0,0
1510636077,0,0
1510636377,0,0
1510636677,0,0
1510636978,0,0
1510637279,0,0
1510637579,0,0
1510637877,0,0
1510638178,0,0
1510638478,0,0
1510638777,0,0
1510639078,0,0
1510639377,0,0
1510639677,0,0
1510639979,0,0
1510640278,0,0
1510640578,0,0
1510640877,0,0
1510641179,0,0
1510641477,0,0
1510641778,0,0
1510642077,0,0
1510642377,0,0
1510642678,0,-1
1510642979,-1,0
1510643277,0,0
1510643578,0,0
1510643878,1,0
1510644177,-1,0
1510644478,0,0
1510644779,0,0
1510645078,-1,-1
1510645377,1,1
1510645678,-1,-1
1510645977,0,0
1510646278,0,0
1510646577,0,0
1510646878,0,0
1510647177,0,0
1510647477,0,0
1510647779,0,0
1510648077,0,0
1510648378,0,0
1510648677,0,0
1510648979,0,0
1510649277,0,0
1510649577,0,0
1510649880,-1,-1
1510650177,0,0
1510650478,-1,-1
1510650778,0,0
1510651077,-1,-1
1510651377,0,0
