date,f1,f2
1510555673,0,0
1510555978,0,0
1510556279,0,0
1510556577,0,0
1510556878,0,0
1510557178,0,0
1510557478,0,0
1510557779,0,0
1510558077,0,0
1510558377,0,0
1510558678,0,0
1510558979,0,0
1510559280,0,0
1510559580,0,0
1510559942,0,0
1510560179,0,0
1510560478,0,0
1510560778,0,0
1510561078,0,0
1510561379,0,0
1510561678,0,0
1510561979,0,0
1510562278,0,0
1510562578,0,0
1510562877,-1,-1
1510563179,1,1
1510563481,0,0
1510563778,0,0
1510564078,0,0
1510564378,0,0
1510564680,0,-1
1510564978,-1,0
1510565277,0,0
1510565579,0,0
1510565879,0,0
1510566178,0,0
1510566479,0,0
1510566778,0,0
1510567078,0,0
1510567378,0,0
1510567678,1,1
1510567978,-1,-1
1510568279,1,1
1510568578,0,-1
1510568877,-1,0
1510569177,0,0
1510569478,1,1
1510569778,0,0
1510570078,0,0
1510570378,0,0
1510570679,0,0
1510570977,0,0
1510571279,0,0
1510571578,0,0
1510571879,0,0
1510572178,0,0
1510572479,0,0
1510572780,0,0
1510573078,0,0
1510573378,0,0
1510573679,0,0
1510573979,0,0
1510574277,0,0
1510574579,0,0
1510574878,0,0
1510575178,0,0
1510575479,0,0
1510575778,0,0
1510576078,0,0
1510576378,0,0
1510576678,0,0
1510576978,0,0
1510577277,0,0
1510577578,0,0
1510577879,0,0
1510578177,0,0
1510578478,0,0
1510578778,0,0
1510579078,0,0
1510579378,0,0
1510579678,0,0
1510579978,0,0
1510580278,0,0
1510580579,0,0
1510580878,0,0
1510581179,0,0
1510581478,0,0
1510581778,-1,-1
1510582078,1,1
1510582378,0,0
1510582678,0,0
1510582978,0,0
1510583278,0,0
1510583578,0,0
1510583878,0,0
1510584179,0,0
1510584478,0,0
1510584778,0,0
1510585078,0,0
1510585378,0,0
1510585678,0,0
1510585979,0,0
1510586278,0,0
1510586578,0,0
1510586879,0,0
1510587178,0,0
1510588101,0,0
1510588378,0,0
1510588677,0,0
1510588978,0,0
1510589278,0,0
1510589579,0,0
1510589880,0,0
1510590180,0,0
1510590478,0,0
1510590778,0,0
1510591078,0,0
1510591378,0,0
1510591678,0,0
1510591979,0,0
1510592278,0,0
1510592578,0,0
1510592878,0,0
1510593178,1,1
1510593478,-1,-1
1510593779,0,0
1510594079,0,0
1510594379,0,0
1510594678,0,0
1510594979,0,0
1510595279,0,0
1510595577,0,0
1510595878,0,0
1510596178,0,0
1510596477,0,0
1510596778,0,0
1510597078,0,0
1510597378,0,0
1510597678,0,0
1510597978,0,0
1510598280,0,0
1510598577,0,0
1510598878,0,0
1510599178,0,0
1510599479,0,0
1510599780,0,0
1510600078,1,1
1510600378,0,0
1510600679,-1,-1
1510600978,0,0
1510601278,-43,-43
1510601581,43,43
1510601879,1,1
1510602178,0,0
1510602478,0,0
1510602778,0,0
1510603079,0,0
1510603377,0,0
1510603678,0,0
1510603978,0,0
1510604279,0,0
1510604578,0,0
1510604879,0,0
1510605178,0,0
1510605479,0,0
1510605778,0,0
1510606078,0,0
1510606377,-1,-1
1510606679,0,0
1510606979,0,0
1510607277,0,0
1510607579,0,0
1510607880,0,0
1510608179,0,0
1510608607,0,0
1510608778,0,0
1510609079,0,0
1510609378,0,0
1510609677,0,0
1510609979,0,0
1510610278,0,0
1510610579,0,0
1510610879,0,0
1510611177,0,0
1510611480,0,0
1510611779,0,0
1510612078,0,0
1510612378,0,0
1510612678,0,0
1510612978,0,0
1510613278,0,0
1510613579,0,0
1510613878,0,0
1510614178,0,0
1510614478,0,0
1510614778,0,0
1510615080,0,0
1510615378,0,0
1510615678,0,0
1510615978,0,0
1510616281,0,0
1510616580,0,0
1510616879,0,0
1510617178,0,0
1510617479,0,0
1510617778,0,0
1510618078,0,0
1510618379,0,0
1510618678,0,0
1510618978,0,0
1510619278,0,0
1510619578,0,0
1510619879,0,0
1510620178,0,0
1510620479,0,0
1510620780,0,0
1510621079,0,0
1510621378,0,0
1510621679,0,0
1510621978,0,0
1510622279,0,0
1510622580,0,0
1510623005,0,0
1510623178,0,0
1510623481,0,0
1510623778,0,0
1510624078,0,0
1510624379,0,0
1510624678,0,0
1510624977,0,0
1510625278,0,0
1510625578,0,0
1510625878,0,0
1510626178,0,0
1510626479,0,0
1510626778,0,0
1510627078,0,0
1510627378,0,0
1510627678,0,0
1510627978,0,0
1510628278,0,0
1510628578,0,0
1510628879,0,0
1510629178,0,0
1510629479,0,0
1510629778,0,0
1510630078,0,0
1510630378,0,0
1510630677,0,0
1510630979,0,0
1510631278,0,0
1510631578,0,0
1510631878,0,0
1510632179,0,0
1510632478,0,0
1510632779,0,0
1510633078,0,0
1510633378,0,0
1510633681,0,0
1510633979,0,0
1510634279,0,0
1510634581,0,0
1510634877,0,0
1510635177,0,0
1510635479,0,0
1510635778,0,0
1510636077,0,0
1510636378,0,0
1510636678,0,0
1510636979,0,0
1510637280,0,0
1510637579,0,0
1510637878,0,0
1510638178,0,0
1510638479,0,0
1510638778,0,0
1510639079,0,0
1510639377,0,0
1510639679,0,0
1510639980,0,0
1510640278,-1,-1
1510640579,0,0
1510640878,0,0
1510641179,0,0
1510641477,0,0
1510641779,0,0
1510642078,0,0
1510642377,0,0
1510642679,0,0
1510642980,0,0
1510643277,0,0
1510643580,0,0
1510643878,0,0
1510644178,0,0
1510644479,0,0
1510644780,0,0
1510645079,0,0
1510645379,0,0
1510645679,0,0
1510645978,0,0
1510646279,0,0
1510646578,0,0
1510646879,0,0
1510647178,0,0
1510647478,0,0
1510647779,0,0
1510648078,0,0
1510648378,0,0
1510648678,0,0
1510648979,0,0
1510649278,0,0
1510649577,0,0
1510649880,-1,-1
1510650178,0,0
1510650478,0,0
1510650778,0,0
1510651077,-1,-1
1510651378,0,0
1510651680,0,0
1510651979,0,0
1510652279,0,0
1510652580,0,0
1510652878,0,0
1510653178,0,0
1510653478,0,0
1510653780,0,0
1510654080,0,0
1510654378,-1,-1
1510654678,1,1
1510654980,0,0
1510655277,0,0
1510655578,0,0
1510655879,1,1
1510656178,0,0
1510656479,0,0
1510656778,-1,-1
1510657078,0,0
1510657378,0,0
1510657679,0,0
1510657979,0,0
1510658278,0,0
1510658580,0,0
1510658878,0,0
1510659179,0,0
1510659478,0,0
1510659778,1,1
1510660078,-1,-1
1510660505,0,0
1510660679,0,0
1510660978,0,0
1510661278,0,0
1510661578,0,0
1510661878,0,0
1510662178,0,0
1510662479,0,0
1510662779,0,0
1510663078,0,0
1510663377,0,0
1510663678,0,0
1510663978,0,0
1510664278,0,0
1510664578,0,0
1510664878,0,0
1510665178,0,0
1510665479,0,0
1510665778,0,0
1510666078,0,0
1510666379,-40,-40
1510666679,40,40
1510666978,0,0
1510667279,0,0
1510667578,0,0
1510667878,0,0
1510668178,0,0
1510668479,0,0
1510668780,0,0
1510669079,0,0
1510669378,0,0
1510669678,0,0
1510669980,0,0
1510670279,0,0
1510670579,0,0
1510670878,0,0
1510671177,0,0
1510671479,0,0
1510671780,0,0
1510672078,0,0
1510672378,-1,-1
1510672679,-39,-39
1510672979,39,39
1510673279,0,0
1510673578,0,0
1510673879,0,0
1510674179,0,0
1510674480,0,0
1510674778,0,0
1510675077,0,0
1510675379,0,0
1510675679,0,0
1510675979,0,0
1510676281,0,0
1510676578,0,0
1510676879,0,0
1510677178,0,0
1510677480,0,0
1510677778,0,0
1510678079,0,0
1510678380,0,0
1510678680,0,0
1510678981,-1,-1
1510679279,1,1
1510679578,0,0
1510679879,0,0
1510680179,0,0
1510680478,0,0
1510680778,1,1
1510681079,0,0
1510681379,-1,-1
1510681678,0,0
1510681978,0,0
1510725602,-1,-1
1510725912,0,0
1510726211,0,0
1510726510,0,0
1510726811,0,0
1510727110,0,0
1510727410,0,0
1510727712,0,0
1510728010,0,0
1510728311,0,0
1510728611,1,1
1510728911,-1,-1
1510729211,0,0
1510729511,0,0
1510729811,0,0
1510730110,0,0
1510730410,0,0
1510730711,0,0
1510731010,0,0
1510731310,-1,-1
1510731611,0,0
1510731912,0,0
1510732211,0,0
1510732512,0,0
1510732810,0,0
1510733110,0,0
1510733410,1,1
1510733710,0,0
1510734011,0,0
1510734311,0,0
1510734610,0,0
1510734911,0,0
1510735211,0,0
1510735511,0,0
1510735811,0,0
1510736111,0,0
1510736410,0,0
1510736711,0,0
1510737012,0,0
1510737310,0,0
1510737611,0,0
1510737911,0,0
1510738212,0,0
1510738510,0,0
1510738810,0,0
1510739112,0,0
1510739410,0,0
1510739710,0,0
1510740010,0,0
1510740310,-1,-1
1510740611,1,1
1510740910,-1,-1
1510741210,0,0
1510741511,0,0
1510741810,0,0
1510742110,0,0
1510742411,0,0
1510742710,0,0
1510743010,0,0
1510743310,0,0
1510743611,0,0
1510743911,0,0
1510744210,1,1
1510744511,-1,-1
1510744810,0,0
1510745112,0,0
1510745410,0,0
1510745712,0,0
1510746012,0,0
1510746311,1,1
1510746611,-1,-1
1510746911,1,1
1510747210,0,0
1510747510,0,0
1510747810,0,0
1510748110,0,0
1510748410,0,0
1510748710,0,0
1510749010,0,0
1510749310,0,0
1510749611,0,0
1510749911,0,0
1510750211,0,0
1510750510,0,0
1510750811,0,0
1510751110,0,0
1510751410,1,0
1510751710,-1,0
1510752010,1,1
1510752310,0,0
1510752610,-1,-1
1510752913,0,0
1510753210,0,0
1510753511,0,0
1510753811,0,0
1510754110,0,0
1510754410,0,0
1510754710,1,1
1510755011,0,0
1510755312,0,0
1510755610,0,0
1510755911,0,0
1510756211,-1,-1
1510756510,0,0
1510756810,0,0
1510757111,1,1
1510757413,0,0
1510757710,0,0
1510758010,0,0
1510758310,0,0
1510758611,-1,-1
1510758910,0,0
1510759210,0,0
1510759512,0,0
1510759811,0,0
1510760110,0,0
1510760410,0,0
1510760712,0,0
1510761010,-38,-38
1510761311,37,37
1510761612,0,0
1510761911,1,1
1510762211,-1,-1
1510762511,1,1
1510762811,0,0
1510763110,0,0
1510763410,0,0
1510763710,0,0
1510764010,-1,-1
1510764312,0,0
1510764610,0,0
1510764910,0,0
1510765212,0,0
1510765510,1,1
1510765812,-1,-1
1510766110,0,0
1510766412,1,1
1510766710,0,0
1510767010,0,0
1510767310,0,0
1510767610,0,0
1510767910,0,0
1510768212,-1,-1
1510768510,1,1
1510768810,0,0
1510769110,0,0
1510769411,-1,-1
1510769710,1,1
1510770012,0,0
1510770310,0,0
1510770611,-1,-1
1510770910,1,1
1510771211,0,0
1510771511,0,0
1510771814,0,0
1510772112,0,0
1510772412,0,0
1510772710,0,0
1510773013,0,0
1510773311,0,0
1510773612,0,0
1510773912,-1,-1
1510774212,1,1
1510774511,0,0
1510774812,0,0
1510775111,0,0
1510775410,0,0
1510775710,0,0
1510776012,0,0
1510776310,0,0
1510776611,0,0
1510776910,0,0
1510777210,0,0
1510777512,0,0
1510777810,0,0
1510778110,0,0
1510778410,0,0
1510778711,0,0
1510779012,0,0
1510779310,0,0
1510779611,0,0
1510779912,0,0
1510780211,0,0
1510780512,-1,-1
1510780810,0,0
1510781110,0,0
1510781411,0,0
1510781711,0,0
1510782012,0,0
1510782311,0,0
1510782610,0,0
1510782910,0,0
1510783211,0,0
1510783510,0,0
1510783811,0,0
1510784110,0,0
1510784411,0,0
1510784710,0,-1
1510785010,-1,0
1510785311,0,0
1510785611,1,0
1510785912,-1,0
1510786211,0,0
1510786511,0,0
1510786810,0,0
1510787111,0,0
1510787410,1,1
1510787710,-1,-1
1510788011,1,1
1510788310,0,0
1510788610,0,0
1510788910,-1,-1
1510789211,1,1
1510789510,0,0
1510789810,0,0
1510790110,0,0
1510790410,0,0
1510790710,0,0
1510791012,0,0
1510791310,0,0
1510791610,0,0
1510791913,0,0
1510792210,0,0
1510792513,-1,-1
1510792811,-36,-36
1510793111,36,36
1510793411,0,0
1510793710,1,1
1510794011,0,0
1510794310,0,0
1510794610,0,0
1510794910,0,0
1510795211,0,0
1510795512,0,0
1510795811,0,0
1510796111,0,0
1510796411,-37,-37
1510796711,37,37
1510797011,0,0
1510797310,0,0
1510797610,0,0
1510797912,0,0
1510798212,0,0
1510798511,0,0
1510798811,0,0
1510799110,0,0
1510799411,0,0
1510799711,0,0
1510800010,0,0
1510800312,0,0
1510800610,0,0
1510800911,0,0
1510801211,0,0
1510801511,0,0
1510801810,0,0
1510802111,0,0
1510802411,0,0
1510802710,0,0
1510803010,0,0
1510803313,0,0
1510803610,0,0
1510803913,0,0
1510804210,0,0
1510804510,0,0
1510804811,0,0
1510805110,0,0
1510805410,0,0
1510805710,0,0
1510806010,0,0
1510806311,0,0
1510806611,0,0
1510806911,0,0
1510807211,0,0
1510807510,0,0
1510807810,0,0
1510808112,0,0
1510808410,0,0
1510808710,1,1
1510809010,0,0
1510809312,0,0
1510809611,0,0
1510809911,-1,-1
1510810210,0,0
1510810511,0,0
1510810810,0,0
1510811113,0,0
1510811410,0,0
1510811711,0,0
1510812010,0,0
1510812310,0,0
1510812611,0,0
1510812911,0,0
1510813213,0,0
1510813510,0,0
1510813811,0,0
1510814110,0,0
1510814412,0,0
1510814710,0,0
1510815012,0,0
1510815310,0,0
1510815610,0,0
1510815911,1,1
1510816210,0,0
1510816510,0,0
1510816811,0,0
1510817110,0,0
1510817410,0,0
1510817710,0,0
1510818010,0,0
1510818310,0,0
1510818612,0,0
1510818910,0,0
1510819211,0,0
1510819510,0,0
1510819810,0,0
1510820111,0,0
1510820410,0,0
1510820711,0,0
1510821010,0,0
1510821312,0,0
1510821612,0,0
1510821910,0,0
1510822210,0,0
1510822511,0,0
1510822810,0,0
1510823110,0,0
1510823410,0,0
1510823710,0,0
1510824011,0,0
1510824311,0,0
1510824610,0,0
1510824910,0,0
1510825210,0,0
1510825513,0,0
1510825810,0,0
1510826110,0,0
1510826411,0,0
1510826711,0,0
1510827010,0,0
1510827312,0,0
1510827610,0,0
1510827910,0,0
1510828210,-1,-1
1510828512,0,0
1510828811,1,1
1510829112,0,0
1510829411,0,0
1510829712,0,0
1510830010,-1,-1
1510830315,1,1
1510830610,0,0
1510830911,0,0
1510831211,0,0
1510831511,0,0
1510831811,0,0
1510832111,0,0
1510832410,0,0
1510832711,0,0
1510833010,0,0
1510833310,0,0
1510833610,0,0
1510833910,0,0
1510834211,0,0
1510834510,-1,-1
1510834810,0,0
1510835112,0,0
1510835410,0,0
1510835710,0,0
1510836011,0,0
1510836310,0,0
1510836610,0,0
1510836911,0,0
1510837211,0,0
1510837510,0,0
1510837811,0,0
1510838111,0,0
1510838412,0,0
1510838710,0,0
1510839010,0,0
1510839312,0,0
1510839610,0,0
1510839910,0,0
1510840211,0,0
1510840514,0,0
1510840810,0,0
1510841110,0,0
1510841410,0,0
1510841710,0,0
1510842013,0,0
1510842312,0,0
1510842611,0,0
1510842910,0,0
1510843211,0,0
1510843511,0,0
1510843811,0,0
1510844110,0,0
1510844410,0,0
1510844711,0,0
1510845012,0,0
1510845310,0,0
1510845611,0,0
1510845912,0,0
1510846211,0,0
1510846511,0,0
1510846810,0,0
1510847110,0,0
1510847410,0,0
1510847711,0,0
1510848012,0,0
1510848310,0,0
1510848610,0,0
1510848910,0,0
1510849210,0,0
1510849512,0,0
1510849811,0,0
1510850110,0,0
1510850411,0,0
1510850712,0,0
1510851010,0,0
1510851311,0,0
1510851610,0,0
1510851910,0,0
1510852211,0,0
1510852512,0,0
1510852810,0,0
1510853110,0,0
1510853412,0,0
1510853710,0,0
1510854012,0,0
1510854311,0,0
1510854611,0,0
1510854910,0,0
1510855212,0,0
1510855510,0,0
1510855811,0,0
1510856110,0,0
1510856410,0,0
1510856711,0,0
1510857010,0,0
1510857310,0,0
1510857611,0,0
1510857912,0,0
1510858211,0,0
1510858510,0,0
1510858811,0,0
1510859111,0,0
1510859410,0,0
1510859711,0,0
1510860010,0,0
1510860310,0,0
1510860610,0,0
1510860910,-1,-1
1510861210,0,0
1510861510,0,0
1510861810,0,0
1510862111,0,0
1510862410,0,0
1510862710,1,1
1510863010,0,0
1510863310,0,0
1510863610,0,0
1510863912,0,0
1510864212,0,0
1510864511,0,0
1510864810,0,0
1510865110,0,0
1510865411,0,0
1510865711,0,0
1510866011,0,0
1510866311,0,0
1510866610,0,0
1510866911,0,0
1510867210,0,0
1510867512,0,0
1510867812,0,0
1510868111,0,0
1510868410,0,0
1510868710,0,0
1510869012,-1,-1
1510869310,1,1
1510869610,0,0
1510869910,0,0
1510870210,0,0
1510870510,0,0
1510870812,0,0
1510871110,0,0
1510871411,0,0
1510871710,0,0
1510872010,0,0
1510872310,0,0
1510872611,0,0
1510872910,0,0
1510873211,0,0
1510873510,-37,-37
1510873812,37,37
1510874110,0,0
1510874411,0,0
1510874710,0,0
1510875010,0,0
1510875311,0,0
1510875611,0,0
1510875910,0,0
1510876211,0,0
1510876511,0,0
1510876812,-1,-1
1510877111,0,0
1510877410,1,1
1510877711,0,0
1510878012,0,0
1510878311,0,0
1510878610,0,0
1510878913,-1,-1
1510879210,0,0
1510879511,0,0
1510879810,0,1
1510880110,0,-1
1510880410,1,1
1510880710,-1,-1
1510881011,0,0
1510881312,0,0
1510881611,0,0
1510881911,0,0
1510882211,0,0
1510882511,0,0
1510882810,0,0
1510883110,-36,-36
1510883412,36,36
1510883710,0,0
1510884011,0,0
1510884310,0,0
1510884611,0,0
1510884910,-1,-1
1510885210,0,0
1510885512,0,0
1510885810,0,0
1510886111,0,0
1510886411,0,0
1510886710,0,0
1510887010,0,0
1510887311,0,0
1510887611,0,0
1510887910,0,0
1510888212,0,0
1510888512,0,0
1510888811,0,0
1510889110,0,0
1510889411,0,0
1510889710,0,0
1510890010,0,0
1510890311,-1,-1
1510890610,0,0
1510890910,0,0
1510891213,0,0
1510891513,0,0
1510891810,0,0
1510892110,0,0
1510892410,0,0
1510892711,0,0
1510893010,0,0
1510893310,0,0
1510893610,0,0
1510893911,0,0
1510894211,1,1
1510894511,-1,-1
1510894810,1,1
1510895110,-1,-1
1510895411,0,0
1510895712,0,0
1510896011,0,0
1510896310,0,0
1510896611,0,0
1510896910,0,0
1510897210,0,0
1510897512,0,0
1510897811,0,0
1510898110,0,0
1510898410,0,0
1510898711,0,0
1510899012,0,0
1510899310,0,0
1510899610,0,0
1510899910,0,0
1510900210,0,0
1510900510,0,0
1510900810,0,0
1510901111,0,0
1510901412,0,0
1510901711,0,0
1510902011,0,0
1510902310,0,0
1510902611,0,0
1510902911,0,0
1510903211,0,0
1510903511,0,0
1510903810,0,0
1510904111,0,0
1510904410,0,0
1510904710,0,0
1510905010,0,0
1510905310,0,0
1510905612,0,0
1510905910,0,0
1510906212,0,0
1510906510,0,0
1510906810,0,0
1510907110,0,0
1510907411,0,0
1510907710,0,0
1510908011,0,0
1510908310,0,0
1510908610,0,0
1510908911,0,0
1510909211,0,0
1510909511,0,0
1510909810,0,0
1510910110,0,0
1510910411,-1,-1
1510910712,0,0
1510911010,0,0
1510911311,0,0
1510911611,0,0
1510911910,0,0
1510912211,1,1
1510912511,-1,-1
1510912811,1,1
1510913110,0,0
1510913411,0,0
1510913710,0,0
1510914013,0,0
1510914310,0,0
1510914612,0,0
1510914911,-1,-1
1510915210,0,0
1510915511,0,0
1510915811,0,0
1510916110,0,0
1510916411,0,0
1510916711,0,0
1510917011,1,1
1510917311,0,0
1510917612,0,0
1510917910,0,0
1510918211,0,0
1510918510,0,0
1510918810,-1,-1
1510919110,0,0
1510919410,0,0
1510919710,0,0
1510920011,0,0
1510920310,0,0
1510920610,0,0
1510920910,0,0
1510921211,0,0
1510921512,0,0
1510921810,0,0
1510922110,0,0
1510922410,0,0
1510922711,0,0
1510923011,0,0
1510923310,0,0
1510923610,0,0
1510923912,0,0
1510924211,0,0
1510924510,0,0
1510924811,0,0
1510925110,0,0
1510925411,0,0
1510925711,0,0
1510926012,0,0
1510926311,0,0
1510926613,0,0
1510926910,0,0
1510927212,0,0
1510927510,1,1
1510927811,0,0
1510928110,0,0
1510928410,0,0
1510928711,0,0
1510929012,0,0
1510929311,0,0
1510929610,0,0
1510929910,0,0
1510930211,0,0
1510930511,0,0
1510930811,0,0
1510931111,0,0
1510931411,0,0
1510931710,0,0
1510932012,0,0
1510932310,0,0
1510932611,0,0
1510932910,0,0
1510933210,0,0
1510933510,0,0
1510933811,0,0
1510934111,-1,-1
1510934410,0,0
1510934710,0,0
1510935011,0,0
1510935310,0,0
1510935610,0,0
1510935910,0,0
1510936212,0,0
1510936510,0,0
1510936810,0,0
1510937110,0,0
1510937410,0,0
1510937710,0,0
1510938010,0,0
1510938310,0,0
1510938610,0,0
1510938911,0,0
1510939211,1,1
1510939511,-1,-1
1510939811,0,0
1510940113,0,0
1510940410,0,0
1510940711,0,0
1510941011,-33,-33
1510941310,33,33
1510941610,0,0
1510941911,0,0
1510942210,0,0
1510942511,-1,-1
1510942812,0,0
1510943110,1,1
1510943411,0,0
1510943710,-1,-1
1510944010,0,0
1510944311,0,0
1510944611,0,0
1510944910,0,0
1510945210,0,0
1510945512,0,0
1510945810,-1,-1
1510946110,1,1
1510946412,0,0
1510946712,0,0
1510947011,0,0
1510947312,0,0
1510947610,0,0
1510947910,0,0
1510948211,0,0
1510948512,-1,-1
1510948810,1,1
1510949110,0,0
1510949411,0,0
1510949710,0,0
1510950011,0,0
1510950311,1,0
1510950611,-1,0
1510950910,1,1
1510951210,-1,-1
1510951510,0,0
1510951811,0,0
1510952110,0,0
1510952411,-32,-32
1510952710,32,32
1510953010,0,0
1510953311,0,0
1510953610,0,0
1510953910,0,0
1510954210,0,0
1510954510,0,0
1510954810,0,0
1510955110,0,0
1510955410,0,0
1510955711,0,0
1510956011,0,0
1510956310,0,0
1510956611,0,0
1510956913,-1,-1
1510957210,0,0
1510957511,0,0
1510957810,0,0
1510958111,0,0
1510958410,0,0
1510958710,0,0
1510959011,0,0
1510959311,-31,-31
1510959610,31,31
1510959912,-1,-1
1510960211,0,0
1510960510,0,0
1510960811,0,0
1510961110,1,1
1510961410,-1,-1
1510961710,1,1
1510962011,0,0
1510962310,-1,-1
1510962611,1,1
1510962910,0,0
1510963210,0,0
1510963510,0,0
1510963811,0,0
1510964110,0,0
1510964410,0,0
1510964710,0,0
1510965011,0,0
1510965311,0,0
1510965613,0,0
1510965911,-1,-1
1510966210,1,1
1510966510,0,0
1510966810,0,0
1510967111,0,0
1510967410,0,0
1510967710,0,0
1510968010,0,0
1510968311,0,0
1510968611,0,0
1510968912,0,0
1510969211,0,0
1510969510,0,0
1510969810,0,0
1510970110,0,0
1510970410,0,0
1510970710,0,0
1510971010,0,0
1510971310,0,0
1510971610,-1,-1
1510971910,0,0
1510972210,0,0
1510972510,0,0
1510972810,0,0
1510973110,0,0
1510973411,0,0
1510973711,0,0
1510974010,0,0
1510974310,0,0
1510974610,0,0
1510974910,1,1
1510975210,-1,-1
1510975510,1,1
1510975810,0,0
1510976111,0,0
1510976410,1,1
1510976711,0,0
1510977012,0,0
1510977310,1,1
1510977611,-1,-1
1510977911,0,0
1510978211,1,1
1510978510,0,0
1510978810,-1,-1
1510979111,1,1
1510979411,-1,-1
1510979710,0,0
1510980010,0,0
1510980310,0,0
1510980611,0,0
1510980910,0,0
1510981211,0,0
1510981510,0,0
1510981811,0,0
1510982111,1,1
1510982412,-1,-1
1510982711,1,1
1510983010,0,0
1510983311,0,-1
1510983611,0,1
1510983910,0,0
1510984210,0,0
1510984511,0,0
1510984811,0,0
1510985112,1,1
1510985410,0,0
1510985710,-1,-1
1510986011,1,1
1510986310,0,0
1510986611,-1,-1
1510986911,0,0
1510987210,0,0
1510987511,0,0
1510987814,0,0
1510988110,0,0
1510988411,0,0
1510988710,0,0
1510989010,0,0
1510989310,0,0
1510989610,0,0
1510989911,0,0
1510990210,0,0
1510990511,0,0
1510990811,-1,-1
1510991111,0,0
1510991410,0,0
1510991710,0,0
1510992013,0,0
1510992310,0,0
1510992610,1,1
1510992912,0,0
1510993211,0,0
1510993510,0,0
1510993810,0,0
1510994111,0,0
1510994410,0,0
1510994711,0,0
1510995010,-1,-1
1510995312,0,0
1510995611,0,0
1510995910,0,0
1510996210,0,0
1510996512,0,0
1510996813,0,0
1510997110,0,0
