date,f1,f2
1510555673,0,0
1510555979,0,0
1510556279,0,-1
1510556578,0,1
1510556879,-1,0
1510557178,1,-1
1510557480,-1,0
1510557780,1,1
1510558079,0,0
1510558378,0,-1
1510558678,0,1
1510558979,0,0
1510559281,0,0
1510559580,0,-1
1510559943,-1,0
1510560180,1,0
1510560479,0,1
1510560778,0,0
1510561081,-1,-1
1510561380,0,0
1510561679,0,0
1510561979,0,0
1510562278,0,0
1510562578,0,0
1510562879,0,0
1510563180,0,0
1510563483,0,0
1510563778,0,0
1510564079,0,0
1510564378,0,0
1510564680,0,0
1510564978,-1,-1
1510565279,1,1
1510565580,-1,-1
1510565879,0,0
1510566178,0,0
1510566479,0,0
1510566778,0,0
1510567079,0,0
1510567378,0,0
1510567678,0,0
1510567978,0,0
1510568279,0,0
1510568578,0,0
1510568878,0,0
1510569178,0,0
1510569478,0,0
1510569779,1,1
1510570078,0,0
1510570378,0,0
1510570680,0,0
1510570978,0,0
1510571281,0,0
1510571578,0,0
1510571879,0,-1
1510572178,0,1
1510572479,0,0
1510572781,0,0
1510573078,0,0
1510573379,0,0
1510573679,0,0
1510573980,0,0
1510574278,0,0
1510574580,0,0
1510574879,0,0
1510575179,0,0
1510575479,0,0
1510575779,0,0
1510576078,0,0
1510576379,0,0
1510576678,0,0
1510576979,0,0
1510577278,0,0
1510577578,0,0
1510577879,0,0
1510578178,0,0
1510578478,0,0
1510578778,0,0
1510579079,-1,-1
1510579380,0,0
1510579680,0,0
1510579979,0,0
1510580279,0,0
1510580580,0,0
1510580880,0,0
1510581179,0,0
1510581479,0,0
1510581778,0,0
1510582079,1,1
1510582379,0,0
1510582678,0,0
1510582979,0,0
1510583278,0,0
1510583579,0,0
1510583879,0,0
1510584180,0,0
1510584478,0,0
1510584780,0,0
1510585079,0,0
1510585378,0,0
1510585678,0,0
1510585981,0,0
1510586279,0,0
1510586578,0,0
1510586879,0,0
1510587179,0,0
1510588102,-1,-1
1510588379,0,0
1510588678,0,0
1510588978,1,1
1510589278,0,0
1510589580,0,0
1510589880,0,0
1510590180,0,0
1510590478,0,0
1510590778,0,0
1510591079,0,0
1510591378,0,0
1510591679,0,0
1510591980,0,0
1510592279,0,0
1510592578,0,0
1510592878,0,0
1510593178,0,0
1510593478,0,0
1510593780,0,0
1510594079,0,0
1510594380,0,0
1510594678,0,0
1510594980,0,0
1510595280,0,0
1510595578,0,0
1510595878,0,0
1510596178,0,0
1510596479,0,0
1510596779,0,0
1510597079,0,0
1510597379,0,0
1510597679,0,0
1510597980,0,0
1510598281,0,0
1510598578,0,0
1510598880,0,0
1510599178,0,0
1510599480,0,0
1510599780,0,0
1510600079,0,0
1510600381,0,0
1510600680,0,0
1510600978,0,0
1510601278,0,0
1510601581,0,0
1510601881,0,0
1510602178,0,0
1510602478,0,0
1510602778,0,0
1510603081,0,0
1510603378,0,0
1510603678,0,0
1510603979,0,0
1510604279,0,0
1510604580,0,0
1510604880,0,0
1510605179,0,0
1510605479,0,0
1510605778,0,0
1510606078,0,0
1510606379,-1,-1
1510606679,0,0
1510606980,0,0
1510607278,0,0
1510607579,0,0
1510607881,0,0
1510608179,0,0
1510608608,0,0
1510608779,0,0
1510609081,0,0
1510609378,0,0
1510609678,1,1
1510609979,-1,-1
1510610279,0,0
1510610579,0,0
1510610880,0,0
1510611179,0,0
1510611481,0,0
1510611780,0,0
1510612079,0,0
1510612379,0,0
1510612679,0,0
1510612978,0,0
1510613278,0,0
1510613579,0,0
1510613879,0,0
1510614179,0,0
1510614479,0,0
1510614779,0,0
1510615081,0,0
1510615379,0,0
1510615678,0,0
1510615979,0,0
1510616282,0,0
1510616580,0,0
1510616880,0,0
1510617178,0,0
1510617479,0,0
1510617779,0,0
1510618079,0,0
1510618379,0,0
1510618679,0,0
1510618980,0,0
1510619278,0,0
1510619578,0,0
1510619880,0,0
1510620178,0,0
1510620480,0,0
1510620780,0,0
1510621080,0,0
1510621378,0,0
1510621679,0,0
1510621979,0,0
1510622279,0,0
1510622580,0,0
1510623005,0,0
1510623179,0,0
1510623482,0,0
1510623780,0,0
1510624079,0,0
1510624380,0,0
1510624679,0,0
1510624978,0,0
1510625278,0,0
1510625579,0,0
1510625879,0,0
1510626178,0,0
1510626479,0,0
1510626778,0,0
1510627078,0,0
1510627378,0,0
1510627680,0,0
1510627978,0,0
1510628278,0,0
1510628579,0,0
1510628880,0,0
1510629179,0,0
1510629479,0,0
1510629779,0,0
1510630079,0,0
1510630378,0,0
1510630679,0,0
1510630979,0,0
1510631279,0,0
1510631578,0,0
1510631879,0,0
1510632179,0,0
1510632478,0,0
1510632780,0,0
1510633078,0,0
1510633378,0,0
1510633682,0,0
1510633979,0,0
1510634279,0,0
1510634582,0,0
1510634878,-59,-59
1510635178,59,59
1510635479,0,0
1510635778,0,0
1510636078,0,0
1510636378,-1,-1
1510636678,0,0
1510636979,0,0
1510637282,0,0
1510637580,0,0
1510637878,0,0
1510638179,0,0
1510638479,0,0
1510638779,0,0
1510639079,0,0
1510639378,0,0
1510639679,0,0
1510639981,0,0
1510640279,0,0
1510640579,0,0
1510640878,0,0
1510641180,0,0
1510641480,0,0
1510641779,0,0
1510642079,0,0
1510642378,0,0
1510642679,0,0
1510642981,-1,-1
1510643278,0,0
1510643581,0,0
1510643880,0,0
1510644178,0,0
1510644479,-1,-1
1510644780,0,0
1510645080,0,0
1510645379,0,0
1510645680,0,0
1510645978,0,0
1510646280,0,0
1510646578,0,0
1510646879,0,0
1510647179,0,0
1510647479,0,0
1510647780,0,0
1510648078,0,0
1510648380,0,0
1510648679,0,0
1510648980,0,0
1510649278,0,0
1510649578,0,0
1510649881,-1,-1
1510650178,0,0
1510650479,0,0
1510650779,0,0
1510651078,-1,-1
1510651379,0,0
1510651680,0,0
1510651980,0,0
1510652280,0,0
1510652580,0,0
1510652879,0,0
1510653179,0,0
1510653478,0,0
1510653781,0,0
1510654080,0,0
1510654378,0,0
1510654679,0,0
1510654980,0,0
1510655279,0,0
1510655579,0,0
1510655880,1,1
1510656178,-55,-55
1510656479,55,55
1510656779,0,0
1510657078,0,0
1510657379,-1,-1
1510657679,0,0
1510657980,0,0
1510658280,0,0
1510658580,0,0
1510658878,1,1
1510659179,0,0
1510659478,0,0
1510659779,0,0
1510660078,0,0
1510660506,-1,-1
1510660679,0,0
1510660979,0,0
1510661278,0,0
1510661579,0,0
1510661879,0,0
1510662179,0,0
1510662480,0,0
1510662779,0,0
1510663080,0,0
1510663378,0,0
1510663679,0,0
1510663980,0,0
1510664279,0,0
1510664579,0,0
1510664879,0,0
1510665178,0,0
1510665479,0,0
1510665780,0,0
1510666078,0,0
1510666380,-54,-54
1510666679,54,54
1510666979,0,0
1510667279,0,0
1510667578,0,0
1510667879,0,0
1510668178,0,0
1510668480,0,0
1510668781,-54,-54
1510669079,54,54
1510669379,0,0
1510669678,0,0
1510669980,0,0
1510670280,0,0
1510670579,0,0
1510670879,0,0
1510671178,0,0
1510671480,0,0
1510671780,0,0
1510672079,0,0
1510672378,-1,-1
1510672680,0,0
1510672980,-1,-1
1510673279,0,0
1510673579,0,0
1510673880,0,0
1510674180,-1,-1
1510674481,1,1
1510674779,0,0
1510675078,-1,-1
1510675381,1,1
1510675680,0,0
1510675979,0,0
1510676282,0,0
1510676579,0,0
1510676879,0,-1
1510677178,-1,0
1510677480,0,0
1510677778,1,1
1510678081,0,0
1510678382,0,0
1510678681,0,0
1510678981,-1,-1
1510679280,0,0
1510679580,1,1
1510679879,0,0
1510680179,0,0
1510680478,0,0
1510680778,0,0
1510681080,-1,-1
1510681380,0,0
1510681678,1,1
1510681978,-1,-1
1510725602,1,1
1510725913,0,0
1510726211,0,0
1510726511,0,0
1510726811,0,0
1510727111,1,1
1510727411,-1,-1
1510727714,0,0
1510728012,0,0
1510728312,0,0
1510728612,1,1
1510728914,0,-1
1510729211,-1,0
1510729513,0,0
1510729812,0,0
1510730112,0,0
1510730411,0,0
1510730712,0,0
1510731011,0,0
1510731311,0,0
1510731611,0,0
1510731912,0,0
1510732212,0,0
1510732512,0,0
1510732810,0,0
1510733111,0,0
1510733411,0,0
1510733711,0,0
1510734012,0,0
1510734312,0,0
1510734611,0,0
1510734912,0,0
1510735211,0,0
1510735513,0,0
1510735812,0,0
1510736112,1,1
1510736410,-1,-1
1510736711,0,0
1510737012,0,0
1510737311,0,0
1510737611,0,1
1510737912,1,0
1510738213,0,-1
1510738511,-1,0
1510738811,0,0
1510739113,0,0
1510739411,0,0
1510739710,0,0
1510740010,0,0
1510740311,0,0
1510740613,0,0
1510740910,0,0
1510741211,0,0
1510741511,0,0
1510741810,0,0
1510742111,0,0
1510742412,0,0
1510742711,0,0
1510743012,0,0
1510743312,0,0
1510743612,0,0
1510743911,0,0
1510744211,0,0
1510744512,0,0
1510744811,1,0
1510745114,0,1
1510745411,0,0
1510745712,-1,-1
1510746012,0,0
1510746311,1,1
1510746612,0,0
1510746913,1,1
1510747211,0,0
1510747511,0,0
1510747811,0,0
1510748111,0,0
1510748410,0,0
1510748711,0,0
1510749011,0,0
1510749310,0,0
1510749612,0,0
1510749912,0,0
1510750211,0,0
1510750510,1,1
1510750812,0,0
1510751111,0,0
1510751413,0,0
1510751711,1,1
1510752011,0,0
1510752310,0,0
1510752611,0,0
1510752914,0,0
1510753212,0,-1
1510753512,-1,0
1510753812,1,0
1510754111,-1,0
1510754410,0,0
1510754711,1,1
1510755012,0,0
1510755312,0,0
1510755611,0,0
1510755912,0,0
1510756211,0,0
1510756510,0,0
1510756811,0,0
1510757112,0,0
1510757414,0,0
1510757711,0,0
1510758011,0,0
1510758311,0,0
1510758611,0,0
1510758911,-1,-1
1510759211,0,0
1510759512,0,0
1510759811,0,0
1510760111,0,0
1510760410,-1,-1
1510760712,1,0
1510761010,-1,0
1510761313,0,0
1510761612,0,0
1510761911,0,0
1510762212,0,0
1510762512,0,0
1510762811,0,0
1510763110,0,0
1510763411,0,0
1510763711,0,0
1510764011,0,0
1510764312,0,0
1510764611,0,0
1510764911,0,0
1510765213,0,0
1510765510,0,0
1510765813,0,0
1510766111,0,0
1510766412,0,0
1510766712,0,0
1510767011,0,0
1510767311,0,0
1510767612,0,0
1510767911,0,0
1510768213,0,0
1510768511,0,0
1510768811,0,0
