date,f1,f2
1510555673,0,-1
1510555979,0,1
1510556280,-1,0
1510556579,0,-1
1510556879,0,0
1510557179,0,0
1510557480,0,0
1510557780,0,0
1510558080,0,0
1510558378,1,0
1510558680,0,0
1510558980,0,1
1510559281,0,0
1510559581,0,0
1510559943,0,0
1510560181,0,-1
1510560479,0,1
1510560779,-1,-1
1510561083,0,0
1510561380,0,0
1510561680,0,0
1510561981,0,0
1510562279,0,0
1510562578,0,0
1510562879,0,0
1510563181,0,0
1510563484,0,0
1510563779,0,0
1510564080,0,0
1510564379,0,0
1510564681,0,0
1510564979,0,-1
1510565281,0,1
1510565582,0,0
1510565880,0,0
1510566179,0,-1
1510566479,-1,0
1510566779,0,0
1510567081,0,0
1510567379,0,0
1510567678,-50,-50
1510567979,51,51
1510568280,0,0
1510568579,0,0
1510568879,0,0
1510569179,0,0
1510569479,0,0
1510569780,0,0
1510570079,0,0
1510570379,0,0
1510570680,0,0
1510570980,0,0
1510571282,0,0
1510571579,0,0
1510571881,0,0
1510572179,0,0
1510572481,0,0
1510572781,0,0
1510573079,0,0
1510573379,0,0
1510573680,0,0
1510573980,0,0
1510574281,0,0
1510574581,0,0
1510574879,0,0
1510575179,0,0
1510575480,0,0
1510575780,0,0
1510576081,0,0
1510576379,0,0
1510576679,1,0
1510576980,-1,0
1510577280,0,0
1510577579,0,0
1510577880,0,0
1510578179,0,0
1510578479,0,0
1510578778,0,0
1510579080,0,0
1510579381,0,0
1510579680,0,0
1510579979,0,0
1510580279,0,0
1510580582,0,0
1510580881,0,0
1510581180,0,0
1510581480,0,0
1510581780,0,0
1510582080,0,0
1510582380,0,0
1510582679,0,0
1510582979,0,0
1510583279,0,0
1510583579,0,0
1510583880,0,0
1510584181,0,0
1510584479,0,0
1510584780,0,0
1510585080,0,0
1510585379,0,0
1510585679,0,0
1510585981,0,0
1510586279,0,0
1510586579,0,0
1510586880,0,0
1510587179,0,0
1510588102,0,0
1510588380,0,0
1510588678,0,0
1510588978,0,0
1510589279,1,1
1510589580,0,0
1510589881,0,0
1510590181,0,0
1510590479,0,0
1510590779,0,0
1510591080,0,0
1510591379,0,0
1510591679,0,-1
1510591981,-52,-51
1510592280,52,52
1510592578,0,0
1510592880,0,-1
1510593179,0,1
1510593479,0,-1
1510593780,-1,0
1510594080,1,1
1510594380,-1,-1
1510594679,0,0
1510594980,0,0
1510595280,0,0
1510595579,0,0
1510595880,0,0
1510596179,1,0
1510596480,0,0
1510596779,0,0
1510597079,0,1
1510597379,0,-1
1510597679,-1,0
1510597980,0,0
1510598281,0,0
1510598579,0,0
1510598881,0,0
1510599179,1,0
1510599480,0,0
1510599782,0,0
