date,f1,f2
1510555674,0,0
1510555979,0,0
1510556280,0,0
1510556579,0,0
1510556880,0,0
1510557179,0,0
1510557480,0,0
1510557781,0,0
1510558080,0,0
1510558379,0,0
1510558681,0,0
1510558981,0,0
1510559283,0,0
1510559582,-1,-1
1510559944,0,0
1510560182,1,0
1510560480,-1,0
1510560781,1,1
1510561083,-1,-1
1510561381,0,0
1510561681,0,0
1510561981,0,0
1510562280,0,0
1510562580,0,0
1510562880,0,0
1510563182,0,0
1510563485,0,0
1510563779,0,0
1510564080,0,0
1510564379,0,0
1510564681,0,0
1510564979,0,0
1510565282,0,0
1510565582,0,0
1510565880,0,0
1510566179,0,0
1510566483,0,0
1510566779,0,0
1510567081,0,0
1510567379,0,0
1510567679,0,0
1510567979,0,0
1510568280,0,0
1510568579,0,0
1510568879,0,0
1510569180,0,0
1510569479,0,0
1510569781,1,1
1510570079,0,0
1510570379,0,0
1510570681,0,0
1510570980,0,0
1510571282,0,0
1510571579,0,0
1510571881,0,0
1510572180,0,0
1510572482,0,0
1510572782,0,0
1510573079,0,0
1510573380,0,0
1510573680,0,0
1510573980,0,0
1510574281,0,0
1510574581,0,0
1510574880,0,0
1510575180,0,0
1510575481,0,0
1510575780,0,0
1510576082,0,0
1510576380,1,1
1510576681,0,-1
1510576982,0,1
1510577280,-1,-1
1510577581,0,0
1510577880,0,0
1510578180,0,0
1510578480,0,0
1510578780,0,0
1510579080,0,0
1510579382,0,0
1510579681,0,0
1510579980,0,0
1510580280,0,0
1510580582,0,0
1510580882,0,0
1510581182,0,0
1510581481,0,0
1510581780,0,0
1510582080,0,0
1510582382,0,0
1510582679,0,0
1510582979,0,0
1510583279,0,0
1510583580,0,0
1510583880,0,0
1510584181,0,0
1510584479,0,0
1510584781,0,0
1510585081,0,0
1510585379,0,0
1510585680,0,0
1510585982,0,0
1510586281,0,0
1510586579,0,0
1510586882,0,0
1510587181,0,0
1510588103,0,0
1510588380,0,0
1510588679,0,0
1510588979,1,1
1510589279,0,0
1510589581,0,0
1510589881,0,0
1510590181,0,0
1510590479,0,0
1510590779,0,0
1510591081,0,0
1510591379,0,0
1510591680,0,0
1510591981,0,0
1510592280,0,0
1510592581,0,0
1510592881,0,0
1510593179,1,1
1510593479,0,0
1510593781,-1,0
1510594081,0,-1
1510594381,0,0
1510594679,0,0
1510594981,0,0
1510595281,0,0
1510595579,0,0
1510595881,0,0
1510596179,0,0
1510596480,0,0
1510596780,0,0
1510597080,0,0
1510597380,0,0
1510597680,0,0
1510597982,0,0
1510598282,0,0
1510598580,0,0
1510598881,0,0
1510599179,0,0
1510599480,0,1
1510599783,1,0
1510600080,0,-1
1510600382,0,1
1510600681,0,-1
1510600979,0,0
1510601279,-1,0
1510601583,0,0
1510601882,0,0
1510602179,1,0
1510602480,0,0
1510602780,0,1
1510603083,0,0
1510603379,0,0
1510603679,0,0
1510603981,-1,-1
1510604280,1,1
1510604582,0,0
1510604881,0,0
1510605181,0,0
1510605480,0,0
1510605781,0,0
1510606081,0,0
1510606380,-1,-1
1510606680,0,0
1510606981,0,0
1510607279,0,0
1510607580,0,0
1510607882,0,0
1510608181,0,0
1510608611,0,0
1510608780,0,0
1510609082,0,0
1510609379,0,0
1510609680,0,0
1510609981,0,0
1510610281,0,0
1510610580,0,0
1510610881,0,0
1510611180,0,0
1510611482,0,0
1510611781,0,0
1510612080,0,0
1510612381,0,0
1510612680,0,0
1510612980,0,0
1510613279,0,0
1510613580,0,0
1510613880,0,0
1510614180,0,-1
1510614480,-1,0
1510614780,0,0
1510615082,0,0
1510615380,0,0
1510615679,0,0
1510615980,0,0
1510616282,0,0
1510616582,0,0
1510616881,0,0
1510617179,0,0
1510617480,0,0
1510617780,0,0
1510618081,0,0
1510618380,0,0
1510618681,0,0
1510618983,0,0
1510619280,0,0
1510619581,0,0
1510619881,0,0
1510620179,0,0
