date,f1,f2
1510555675,0,0
1510555980,0,0
1510556281,0,0
1510556580,0,0
1510556880,0,0
1510557180,0,0
1510557481,0,0
1510557781,0,0
1510558081,0,0
1510558380,0,0
1510558682,0,0
1510558982,0,0
1510559283,0,0
1510559583,0,0
1510559944,0,0
1510560184,0,0
1510560480,0,0
1510560782,0,0
1510561084,0,-1
1510561381,0,1
1510561681,-1,-1
1510561983,0,1
1510562280,0,-1
1510562581,0,0
1510562881,0,0
1510563182,0,0
1510563486,0,0
1510563780,0,0
1510564081,0,0
1510564380,0,0
1510564682,-51,-51
1510564980,51,50
1510565283,0,1
1510565583,0,0
1510565881,0,0
1510566179,-1,-1
1510566483,1,1
1510566779,0,-1
1510567082,0,1
1510567380,0,0
1510567679,0,0
1510567980,0,0
1510568281,0,0
1510568580,0,0
1510568880,0,0
1510569180,0,0
1510569480,0,0
1510569781,0,0
1510570080,0,0
1510570380,0,0
1510570682,0,0
1510570981,0,0
1510571284,0,0
1510571579,0,0
1510571882,0,0
1510572180,0,0
1510572483,0,0
1510572783,0,0
1510573080,0,0
1510573380,0,0
1510573682,0,0
1510573981,1,1
1510574282,0,0
1510574582,0,0
1510574881,0,0
1510575180,-1,-1
1510575481,1,1
1510575781,-1,-1
1510576083,0,0
1510576380,1,0
1510576681,0,1
1510576983,0,0
1510577282,0,0
1510577582,-1,-1
1510577881,0,0
1510578180,0,0
1510578481,0,0
1510578780,0,0
1510579081,0,0
1510579382,0,0
1510579681,0,0
1510579981,0,0
1510580281,0,0
1510580583,0,0
1510580884,0,0
1510581182,0,0
1510581482,0,0
1510581782,0,0
1510582082,0,0
1510582382,0,0
1510582680,0,0
1510582980,-51,-51
1510583280,51,51
1510583581,0,0
1510583880,0,0
1510584183,0,0
1510584479,0,0
1510584782,1,0
1510585082,-1,0
1510585381,0,0
1510585681,0,0
1510585982,0,0
1510586282,0,0
1510586580,0,0
1510586882,0,0
1510587181,0,0
1510588103,0,0
1510588381,0,0
1510588681,0,0
1510588980,1,1
1510589280,0,0
1510589581,0,0
1510589882,0,0
1510590182,0,-1
1510590480,0,1
1510590780,0,0
1510591082,0,0
1510591380,0,0
1510591681,0,0
1510591981,0,0
1510592281,0,0
1510592582,0,0
1510592881,0,0
1510593180,0,0
1510593480,0,0
1510593781,0,0
1510594082,0,0
1510594382,0,0
1510594681,0,0
1510594981,0,0
1510595283,0,0
1510595579,0,0
1510595881,0,0
1510596180,0,0
1510596480,0,0
1510596780,0,0
1510597081,0,0
1510597380,0,0
1510597681,0,0
1510597983,-1,-1
1510598283,0,1
1510598582,0,0
1510598882,1,0
1510599180,0,0
1510599481,0,0
1510599783,0,0
1510600080,0,0
1510600383,0,0
1510600681,0,0
1510600979,0,0
1510601280,0,0
1510601583,0,0
1510601883,0,0
1510602180,0,0
1510602481,0,0
1510602781,0,0
1510603084,0,0
1510603380,0,0
1510603680,0,0
1510603981,0,0
1510604281,0,0
1510604584,0,0
1510604882,0,0
1510605181,0,0
1510605481,0,0
1510605781,0,0
1510606081,0,0
1510606381,-1,-1
1510606680,-1,-1
1510606982,1,1
1510607281,0,0
1510607581,0,0
1510607882,0,0
1510608182,0,-1
1510608613,0,0
1510608781,0,1
1510609083,0,-1
1510609380,0,1
1510609681,0,0
1510609982,0,0
1510610283,0,0
1510610581,0,0
1510610882,0,0
1510611181,-1,-1
1510611483,1,1
1510611781,0,0
1510612082,-1,-1
1510612383,0,0
1510612680,0,0
1510612981,0,0
1510613280,1,0
1510613581,-1,0
1510613881,0,0
1510614180,0,0
1510614481,0,0
1510614780,0,0
1510615083,0,0
1510615381,0,0
1510615680,0,0
1510615980,0,0
1510616283,0,0
1510616583,0,0
1510616881,0,0
1510617180,0,0
1510617482,0,0
1510617781,0,0
1510618081,0,0
1510618380,0,0
1510618682,0,0
1510618983,0,0
1510619281,0,0
1510619582,0,0
1510619882,0,0
1510620180,0,0
1510620481,0,0
1510620782,0,0
1510621082,0,0
1510621380,0,0
1510621681,0,0
1510621980,0,0
1510622282,0,0
1510622582,0,0
1510623007,0,0
1510623181,0,0
1510623483,0,0
1510623782,0,0
1510624083,0,0
1510624381,0,0
1510624680,0,0
1510624979,0,0
1510625281,0,0
1510625580,0,0
1510625880,-50,-50
1510626180,51,51
1510626482,0,-1
1510626781,0,1
1510627081,0,0
1510627382,0,0
1510627682,0,0
1510627980,0,0
1510628279,0,0
1510628580,0,0
1510628882,0,0
1510629181,0,0
1510629482,0,0
1510629780,0,-1
1510630082,0,1
1510630380,0,0
1510630681,0,0
1510630980,0,0
1510631280,0,0
1510631581,0,0
1510631881,0,0
1510632182,0,0
1510632480,0,0
1510632781,0,0
1510633080,0,0
1510633380,0,0
1510633684,0,0
1510633982,0,0
1510634282,0,0
1510634585,0,0
1510634880,0,0
1510635180,0,0
1510635480,0,0
1510635781,0,0
1510636081,0,0
1510636381,0,0
1510636681,0,0
1510636982,0,0
1510637284,0,-1
1510637582,0,1
1510637881,0,0
1510638181,0,-1
1510638481,0,0
1510638781,0,0
1510639080,0,0
1510639382,0,0
1510639681,0,0
1510639984,0,0
1510640280,-1,0
1510640582,0,0
1510640881,0,0
1510641183,0,0
1510641482,0,0
1510641781,0,0
1510642080,0,0
1510642379,0,0
1510642681,0,0
1510642982,0,0
1510643281,0,0
1510643582,0,0
1510643882,0,0
1510644180,0,-1
1510644481,0,0
1510644783,-1,0
1510645081,0,0
1510645382,1,0
1510645682,0,1
1510645981,0,-1
1510646281,-1,0
1510646580,0,0
1510646881,0,0
1510647182,0,0
1510647481,0,0
1510647781,0,0
1510648079,1,0
1510648381,-1,0
1510648681,1,0
1510648981,-1,0
1510649281,0,0
1510649581,1,0
1510649882,0,0
1510650181,-1,0
1510650480,0,0
1510650781,0,0
1510651081,0,-1
1510651384,-1,0
1510651683,0,0
1510651982,0,0
1510652281,0,0
1510652582,0,0
1510652882,0,0
1510653182,0,0
1510653481,0,0
1510653782,0,0
1510654083,0,0
1510654379,0,0
1510654681,0,0
1510654982,0,0
1510655282,0,0
1510655582,0,0
1510655882,0,0
1510656181,0,0
1510656481,0,0
1510656781,0,0
1510657082,0,0
1510657381,0,0
1510657681,0,0
1510657982,0,0
1510658281,0,0
1510658582,0,0
1510658880,0,0
1510659181,0,0
1510659479,0,0
1510659781,0,0
1510660081,0,0
1510660508,0,0
1510660683,0,0
1510660981,0,0
1510661280,0,-1
1510661582,-1,0
1510661880,0,0
1510662181,0,0
1510662482,0,0
1510662783,0,0
1510663081,0,0
1510663381,0,0
1510663680,0,0
1510663982,0,0
1510664282,0,0
1510664581,0,0
1510664881,0,0
1510665180,0,0
1510665481,0,0
1510665782,0,0
1510666081,0,0
1510666383,0,0
1510666682,0,0
1510666982,0,0
1510667281,0,0
1510667581,0,0
1510667880,0,0
1510668180,0,0
1510668481,0,0
1510668783,0,0
1510669083,0,0
1510669381,0,0
1510669680,0,0
1510669984,0,0
1510670281,1,1
1510670581,0,0
1510670882,0,0
1510671181,0,0
1510671481,-1,-1
1510671782,0,0
1510672081,0,0
1510672380,0,-1
1510672681,-1,0
1510672984,0,0
1510673281,0,0
1510673580,0,0
1510673881,0,0
1510674182,0,0
1510674483,0,0
1510674782,0,0
1510675081,0,0
1510675384,0,0
1510675685,0,0
1510675985,0,0
1510676287,0,0
1510676581,0,0
1510676881,0,0
1510677182,0,0
1510677484,0,0
1510677780,0,0
1510678083,0,0
1510678383,0,0
1510678683,0,0
1510678984,0,0
1510679283,0,0
1510679582,1,0
1510679882,-1,0
1510680181,0,0
1510680480,0,0
1510680780,1,0
1510681082,0,0
1510681382,0,1
1510681680,0,-1
1510681981,-1,0
1510725608,-1,-1
1510725915,0,0
1510726214,0,0
1510726514,0,0
1510726813,0,0
1510727114,0,0
1510727413,1,1
1510727715,-1,-1
1510728013,0,0
1510728313,1,1
1510728615,0,0
1510728916,0,0
1510729213,0,0
1510729515,0,0
1510729814,0,0
1510730114,0,0
1510730412,0,0
1510730713,0,0
1510731012,0,0
1510731313,0,-1
1510731614,0,1
1510731914,-1,-1
1510732214,0,0
1510732515,0,0
1510732813,0,0
1510733113,0,0
1510733413,1,1
1510733714,0,0
1510734014,0,0
1510734313,0,-1
1510734613,0,0
1510734913,0,1
1510735213,0,0
1510735515,0,0
1510735813,0,0
1510736114,0,0
1510736412,0,0
1510736713,0,0
1510737015,-1,0
1510737314,0,-1
1510737613,0,0
1510737913,0,0
1510738215,0,1
1510738512,0,-1
1510738814,0,0
1510739116,0,0
1510739413,0,0
1510739712,0,0
1510740012,1,1
1510740312,0,0
1510740615,0,0
1510740912,0,0
1510741213,0,0
1510741513,0,0
1510741812,0,0
1510742112,0,0
1510742413,0,0
1510742712,0,0
1510743014,0,-1
1510743314,-1,0
1510743613,0,0
1510743913,0,0
1510744213,1,0
1510744516,-1,0
1510744813,1,1
1510745116,0,0
1510745412,0,0
1510745714,0,-1
1510746014,0,0
1510746313,0,1
1510746614,-1,-1
1510746915,1,1
1510747213,0,0
1510747516,0,0
1510747814,0,0
1510748113,0,0
1510748412,0,0
1510748712,0,0
1510749012,0,0
1510749313,0,0
1510749614,0,0
1510749915,0,0
1510750213,0,0
1510750513,0,0
1510750815,0,0
1510751112,0,0
1510751415,0,0
1510751712,0,0
1510752012,0,0
1510752312,-46,-46
1510752613,46,47
1510752917,0,-1
1510753213,0,0
1510753515,0,0
1510753813,1,0
1510754112,-1,0
1510754412,0,0
1510754713,0,0
1510755013,1,1
1510755316,-1,0
1510755613,1,0
1510755915,-1,-1
1510756213,0,0
1510756513,0,0
1510756815,0,0
1510757114,0,0
1510757417,0,0
1510757712,0,0
1510758014,0,0
1510758312,0,0
1510758614,0,0
1510758915,0,0
1510759213,-1,-1
1510759514,0,0
1510759814,0,0
1510760113,0,0
1510760412,0,0
1510760715,0,0
1510761012,0,0
1510761316,0,0
1510761614,0,0
1510761914,0,0
1510762214,0,0
1510762515,0,0
1510762813,0,0
1510763113,0,0
1510763412,0,0
1510763714,0,0
1510764015,-1,-1
1510764315,0,0
1510764614,0,0
1510764913,0,0
1510765214,0,0
1510765512,1,1
1510765814,0,0
1510766112,0,0
1510766414,0,-1
1510766715,0,0
1510767013,0,0
1510767312,0,0
1510767614,0,0
1510767915,0,0
1510768215,-1,0
1510768512,1,1
1510768813,0,0
1510769113,0,0
1510769415,-45,-45
1510769712,45,45
1510770015,0,0
1510770313,-1,-1
1510770613,0,1
1510770914,1,-1
1510771213,-1,0
1510771515,0,0
1510771819,1,1
1510772115,0,0
1510772413,0,0
1510772712,0,0
1510773017,0,0
1510773313,0,0
1510773616,0,0
1510773915,0,0
1510774215,0,0
1510774515,0,0
1510774814,0,0
1510775113,-45,-45
1510775412,45,45
1510775713,0,0
1510776015,0,0
1510776312,0,0
1510776614,-1,-1
1510776913,0,0
1510777213,0,0
1510777514,0,0
1510777813,0,0
1510778114,0,0
1510778412,0,0
1510778713,0,0
1510779014,0,0
1510779314,0,0
1510779614,1,1
1510779914,0,-1
1510780214,-1,0
1510780514,0,0
1510780813,0,0
1510781114,0,0
1510781414,0,0
1510781713,0,0
1510782015,0,0
1510782313,-1,-1
1510782613,0,0
1510782913,0,0
1510783214,1,1
1510783514,0,-1
1510783814,0,1
1510784112,0,0
1510784413,0,0
1510784713,-1,-1
1510785013,0,0
1510785314,0,0
1510785613,1,1
1510785914,-1,-1
1510786214,1,0
1510786515,0,1
1510786812,-1,-1
1510787113,1,0
1510787413,0,1
1510787712,0,0
1510788016,0,0
1510788313,0,-1
1510788613,-1,0
1510788912,0,0
1510789215,0,0
1510789515,1,0
1510789812,0,0
1510790114,-1,0
1510790414,0,0
1510790715,0,0
1510791014,1,1
1510791312,0,0
1510791614,0,0
1510791915,0,-1
1510792213,0,1
1510792515,-1,-1
1510792813,0,0
1510793114,0,0
1510793413,0,1
1510793713,1,0
1510794013,-1,-1
1510794313,1,1
1510794612,0,0
1510794913,0,0
1510795213,0,0
1510795514,0,0
1510795813,0,0
