date,f1,f2
1510555676,0,0
1510555980,0,0
1510556282,0,0
1510556580,0,0
1510556881,0,-1
1510557180,-1,0
1510557482,0,0
1510557781,1,1
1510558082,0,0
1510558380,0,0
1510558682,0,0
1510558982,0,0
1510559284,0,0
1510559583,0,0
1510559944,0,0
1510560185,0,0
1510560482,0,0
1510560783,-1,-1
1510561084,0,0
1510561382,0,0
1510561682,0,0
1510561983,0,0
1510562281,0,0
1510562582,0,0
1510562882,0,0
1510563184,0,0
1510563487,0,0
1510563782,0,0
1510564082,0,0
1510564380,0,0
1510564682,0,0
1510564980,0,0
1510565284,0,0
1510565583,0,0
1510565882,0,0
1510566180,0,0
1510566484,0,0
1510566780,0,0
1510567083,0,0
1510567381,0,0
1510567680,0,0
1510567981,0,0
1510568281,0,0
1510568580,0,0
1510568880,0,0
1510569180,0,0
1510569481,0,0
1510569782,1,1
1510570080,-1,0
1510570381,0,-1
1510570682,0,0
1510570982,0,0
1510571287,0,0
1510571580,0,0
1510571882,0,0
1510572181,0,0
1510572483,0,0
1510572784,0,0
1510573081,0,0
1510573382,0,0
1510573683,1,1
1510573981,0,0
1510574283,0,0
1510574582,0,0
1510574882,-1,-1
1510575181,1,1
1510575482,0,0
1510575782,0,0
1510576084,0,0
1510576381,0,0
1510576683,0,0
1510576983,0,0
1510577283,0,0
1510577584,0,0
1510577881,0,0
1510578181,0,0
1510578481,0,0
1510578782,-1,-1
1510579082,0,0
1510579383,0,0
1510579681,0,0
1510579982,0,0
1510580282,0,0
1510580584,0,0
1510580884,0,0
1510581184,0,0
1510581483,0,0
1510581783,0,0
1510582083,1,1
1510582382,0,0
1510582680,0,0
1510582980,0,0
1510583281,0,0
1510583582,0,0
1510583882,-1,-1
1510584183,1,1
1510584481,0,0
1510584782,0,0
1510585082,0,0
1510585381,0,0
1510585682,0,0
1510585983,0,0
1510586283,0,0
1510586581,0,0
1510586884,0,0
1510587182,0,0
1510588103,0,0
1510588382,0,0
1510588681,0,0
1510588980,0,0
1510589280,0,0
1510589582,0,0
1510589882,0,0
1510590182,0,0
1510590481,0,0
1510590780,0,0
1510591083,0,0
1510591381,0,0
1510591682,0,0
1510591982,0,0
1510592282,0,0
1510592583,0,0
1510592882,0,0
1510593180,0,0
1510593480,0,0
1510593782,0,0
1510594083,0,0
1510594383,0,0
1510594681,0,0
1510594982,0,0
1510595284,0,0
1510595580,0,0
1510595882,0,0
1510596182,0,0
1510596481,0,0
1510596782,0,0
1510597081,1,1
1510597381,0,0
1510597681,-1,-1
1510597983,0,0
1510598284,0,0
1510598583,0,0
1510598883,0,0
1510599180,0,0
1510599481,0,0
1510599784,0,0
1510600081,0,0
1510600383,0,0
1510600684,0,0
1510600980,0,0
1510601280,0,0
1510601584,0,0
1510601884,0,0
1510602180,0,0
1510602481,0,0
1510602782,0,0
1510603085,0,0
1510603380,0,0
1510603680,0,0
1510603982,0,0
1510604281,0,0
1510604585,0,0
1510604882,0,0
1510605182,0,0
1510605481,0,0
1510605782,0,0
1510606081,0,0
1510606381,0,0
1510606681,0,0
1510606982,0,0
1510607281,0,0
1510607582,0,0
1510607884,0,0
1510608182,0,0
1510608614,0,0
1510608782,0,0
1510609083,0,0
1510609380,0,0
1510609682,0,0
