date,f1,f2
1510555676,0,0
1510555982,0,0
1510556283,-1,-1
1510556581,0,0
1510556881,0,0
1510557182,0,0
1510557482,0,0
1510557783,0,0
1510558083,0,0
1510558382,0,0
1510558683,0,0
1510558983,1,0
1510559284,-1,0
1510559584,1,1
1510559945,-1,-1
1510560186,1,1
1510560483,0,-1
1510560783,-1,0
1510561085,0,0
1510561382,0,0
1510561682,0,0
1510561984,0,0
1510562282,0,0
1510562583,0,0
1510562883,0,0
1510563185,0,0
1510563488,0,0
1510563782,0,0
1510564082,0,0
1510564380,0,0
1510564683,0,0
1510564982,0,0
1510565284,0,0
1510565584,0,0
1510565883,0,0
1510566180,0,0
1510566484,0,0
1510566781,0,0
1510567085,0,0
1510567382,0,0
1510567680,0,0
1510567981,0,0
1510568282,0,0
1510568582,-47,-47
1510568880,47,47
1510569181,0,0
1510569481,0,0
1510569783,0,0
1510570082,0,0
1510570381,0,0
1510570683,0,0
1510570984,0,0
1510571287,0,0
1510571581,0,0
1510571883,0,0
1510572181,0,0
1510572483,0,0
1510572784,1,0
1510573083,0,0
1510573382,-1,0
1510573684,1,1
1510573982,0,0
1510574283,0,0
1510574583,0,0
1510574882,-1,-1
1510575181,1,1
1510575482,0,0
1510575783,0,0
1510576084,0,0
1510576382,0,0
1510576684,0,0
1510576983,0,0
1510577285,0,0
1510577584,0,0
1510577884,0,0
1510578181,0,0
1510578482,0,0
1510578784,0,0
1510579082,0,0
1510579384,-1,-1
1510579682,0,0
1510579983,1,1
1510580282,-1,-1
1510580584,0,0
1510580885,0,0
1510581186,0,0
1510581483,0,0
1510581784,0,0
1510582084,1,1
1510582383,0,0
1510582681,0,-1
1510582981,0,1
1510583282,0,-1
1510583582,-48,-47
1510583883,48,48
1510584184,0,-1
1510584481,0,1
1510584783,0,0
1510585083,0,0
1510585382,0,0
1510585682,-1,-1
1510585983,0,0
1510586284,0,0
1510586582,1,1
1510586885,0,0
1510587182,-1,-1
1510588104,0,0
1510588382,0,0
1510588683,0,0
1510588980,1,1
1510589281,0,0
1510589582,0,0
1510589883,0,0
1510590183,0,0
1510590481,0,0
1510590781,0,0
1510591083,0,0
1510591383,0,0
1510591683,0,0
1510591982,0,0
1510592283,0,0
1510592584,0,0
1510592883,0,0
